"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"37","227.02669841041336","111.45101970196323","4.837890539961137","-0.30886995110205334","0.010009765625","0.0087890625","0.01123046875","1300","0.0001557004648238761","0","0.0001557004648238761","0.0001557004648238761","37_38:0.0076282698075640365","37_38:660","true"
"38","216.75631696815128","131.75460263004467","4.7766714230705745","-0.31016511917022377","0.02734375","0.02978515625","0.02490234375","1300","0.00029855108976080267","0","0.00029855108976080267","0.00029855108976080267","","","true"
"39","59.80288841699806","138.4366881964194","4.917338188196511","-0.30824769981735706","0.0283203125","0.01171875","0.044921875","1300","0.00020832709223660647","0","0.00020832709223660647","0.00020832709223660647","39_38:0.007142973822660881","39_38:660","true"
"40","248.8307679347057","34.63433122985205","4.86822522950632","-0.30859152479413265","0.01416015625","0.00927734375","0.01904296875","1300","0.00014866765437765913","0","0.00014866765437765913","0.00014866765437765913","40_41:0.004674609236247129;40_39:0.005630431170667416","40_41:660;40_39:660","true"
"41","283.9458341964323","302.2496538434366","4.9355405063933215","-0.30862641143413133","0.01220703125","0.00537109375","0.01904296875","1300","0.00009659968432884845","0","0.00009659968432884845","0.00009659968432884845","41_53:0.004168322713212158","41_53:660","true"
"42","270.31271666610445","152.64312012220796","5.063937004161952","-0.3066601274184393","0.01611328125","0.01220703125","0.02001953125","1300","0.0001669305944968508","0","0.0001669305944968508","0.0001669305944968508","42_41:0.005075573619770624;42_43:0.005532137933692338","42_41:660;42_43:660","true"
"43","300.24188385544335","223.05276027463913","4.8295584168080525","-0.3101290706249939","0.017822265625","0.01953125","0.01611328125","1300","0.00017426082907783682","0","0.00017426082907783682","0.00017426082907783682","43_44:0.01212220499163491","43_44:660","true"
"44","272.3916513470034","19.82115375827172","4.949163813770712","-0.3085061819189273","0.01708984375","0.015625","0.0185546875","1300","0.0005454444708496903","0","0.0005454444708496903","0.0005454444708496903","44_45:0.012560125401233413","44_45:660","true"
"45","102.98731307735318","22.185769520600008","4.9995143777944175","-0.35905492913025383","0.064697265625","0.0732421875","0.05615234375","1300","0.0006248832379375835","0","0.0006248832379375835","0.0006248832379375835","","","true"
"46","267.6689291281592","230.6317103047883","4.853148804085496","-0.3093752065131216","0.02392578125","0.03466796875","0.01318359375","1300","0.0003177626109007523","0","0.0003177626109007523","0.0003177626109007523","46_45:0.04273985358270721;46_47:0.005774316439756899","46_45:660;46_47:660","true"
"47","219.02683574681686","213.57787539915472","4.769547805272399","-0.3109329882546267","0.011962890625","0.01123046875","0.0126953125","1300","0.00016027712688209918","0","0.00016027712688209918","0.00016027712688209918","","","true"
"48","205.08362446567872","89.81556680201943","4.844171075349287","-0.3101551740988557","0.015380859375","0.013671875","0.01708984375","1300","0.0001854465520143545","0","0.0001854465520143545","0.0001854465520143545","48_47:0.006381963857480355;48_49:0.010943460969987606","48_47:660;48_49:660","true"
"49","206.7488356502653","62.27382037260427","4.697340767089157","-0.312183453636997","0.01025390625","0.01025390625","0.01025390625","1300","0.000304010788912113","0","0.000304010788912113","0.000304010788912113","","","true"
"50","261.14060396971047","29.407753090362277","4.784036831114759","-0.31049210238863767","0.016357421875","0.015625","0.01708984375","1300","0.0005620329655891915","0","0.0005620329655891915","0.0005620329655891915","50_49:0.019118160307063814;50_51:0.02097249435733306","50_49:660;50_51:660","true"
"51","276.539807576187","208.88430475046684","4.931197003420066","-0.3079514036835037","0.03662109375","0.0380859375","0.03515625","1300","0.00011456761978111607","0","0.00011456761978111607","0.00011456761978111607","","","true"
"52","188.36593693794987","158.32380272846785","4.91526497084284","-0.30801090653647334","0.012451171875","0.0166015625","0.00830078125","1300","0.0001348504429369997","0","0.0001348504429369997","0.0001348504429369997","52_37:0.005049318414569293;52_56:0.005268888085681156","52_37:660;52_56:660","true"
